IDSubtitle	MovieName	MovieYear	LanguageName	ISO639	SubAddDate	ImdbID	SubFormat	SubSumCD	MovieReleaseName	MovieFPS	SeriesSeason	SeriesEpisode	SeriesIMDBParent	MovieKind	URL
9482606	"I Am Georgina" Si cierras los ojos, te pierdes un plan	2022	Spanish	es	2023-03-28 17:23:41	17520966	srt	1	 Soy.Georgina.S01E02.WEBRip.Netflix.es-ES-forced	0.000	1	2	15494864	tv	http://www.opensubtitles.org/subtitles/9482606/i-am-georgina-si-cierras-los-ojos-te-pierdes-un-plan-es
9482605	"I Am Georgina" Si cierras los ojos, te pierdes un plan	2022	Spanish	es	2023-03-28 17:23:41	17520966	srt	1	 Soy.Georgina.S01E02.WEBRip.Netflix.es-ES[cc]	0.000	1	2	15494864	tv	http://www.opensubtitles.org/subtitles/9482605/i-am-georgina-si-cierras-los-ojos-te-pierdes-un-plan-es
9482608	"I Am Georgina" Familia, viajes y trabajo	2022	Spanish	es	2023-03-28 17:24:08	17520968	srt	1	 Soy.Georgina.S01E03.WEBRip.Netflix.es-ES-forced	0.000	1	3	15494864	tv	http://www.opensubtitles.org/subtitles/9482608/i-am-georgina-familia-viajes-y-trabajo-es
9482607	"I Am Georgina" Familia, viajes y trabajo	2022	Spanish	es	2023-03-28 17:24:08	17520968	srt	1	 Soy.Georgina.S01E03.WEBRip.Netflix.es-ES[cc]	0.000	1	3	15494864	tv	http://www.opensubtitles.org/subtitles/9482607/i-am-georgina-familia-viajes-y-trabajo-es
9482609	"I Am Georgina" Fútbol, vacaciones y el sexo del bebé		Spanish	es	2023-03-28 17:24:16	17520972	srt	1	 Soy.Georgina.S01E04.WEBRip.Netflix.es-ES[cc]	0.000	1	4	15494864	tv	http://www.opensubtitles.org/subtitles/9482609/i-am-georgina-futbol-vacaciones-y-el-sexo-del-bebe-es
9482610	"I Am Georgina" Fútbol, vacaciones y el sexo del bebé		Spanish	es	2023-03-28 17:24:16	17520972	srt	1	 Soy.Georgina.S01E04.WEBRip.Netflix.es-ES-forced	0.000	1	4	15494864	tv	http://www.opensubtitles.org/subtitles/9482610/i-am-georgina-futbol-vacaciones-y-el-sexo-del-bebe-es
9482611	"I Am Georgina" Volver, lo que fui es lo que soy		Spanish	es	2023-03-28 17:24:34	17520974	srt	1	 Soy.Georgina.S01E05.WEBRip.Netflix.es-ES[cc]	0.000	1	5	15494864	tv	http://www.opensubtitles.org/subtitles/9482611/i-am-georgina-volver-lo-que-fui-es-lo-que-soy-es
9482612	"I Am Georgina" Volver, lo que fui es lo que soy		Spanish	es	2023-03-28 17:24:34	17520974	srt	1	 Soy.Georgina.S01E05.WEBRip.Netflix.es-ES-forced	0.000	1	5	15494864	tv	http://www.opensubtitles.org/subtitles/9482612/i-am-georgina-volver-lo-que-fui-es-lo-que-soy-es
9482493	"How I Met Your Father" I'm His Swish	2023	Dutch	nl	2023-03-28 17:24:37	18257044	srt	1	 How.I.Met.Your.Father.S02E10.I'm.His.Swish.720p.DSNP.WEB-DL.DD+5.1.H.264-playWEB	23.976	2	10	14500082	tv	http://www.opensubtitles.org/subtitles/9482493/how-i-met-your-father-i-m-his-swish-nl
9482613	"I Am Georgina" Mudanza, proyectos y buenas noticias		Spanish	es	2023-03-28 17:24:42	17520978	srt	1	 Soy.Georgina.S01E06.WEBRip.Netflix.es-ES[cc]	0.000	1	6	15494864	tv	http://www.opensubtitles.org/subtitles/9482613/i-am-georgina-mudanza-proyectos-y-buenas-noticias-es
